category,level,outcome,outcome_level,n,Unnamed: 5
CC390,1,DD13,2675,5,
CC390,1,DD13,2755,5,
CC390,1,DD13,2589,5,
CC390,1,DD13,3448,5,
CC390,1,DD13,3706,5,
CC390,1,DD13,3338,5,
CC390,1,DD13,2360,5,
CC390,1,DD13,3585,5,
CC390,1,DD13,4114,5,
CC390,1,DD13,3265,5,
CC390,1,DD13,4670,5,
CC390,1,DD13,2222,5,
CC390,1,DD13,4690,5,
CC390,1,DD13,5020,5,
CC390,1,DD13,2815,5,
CC390,1,DD13,3966,5,
CC390,1,DD13,3862,5,
CC390,1,DD13,4760,5,
